Site,Year,Acanthurus.bahianus,Acanthurus.coeruleus,Gobiidae,Gramma.loreto,Haemulon.flavolineatum,Bodianus.rufus,Clepticus.parrae,Halichoeres.garnoti,Halichoeres.maculipinna,Thalassoma.bifasciatum,Abudefduf.saxatilis,Chromis.cyanea,Chromis.enchrysura,Chromis.insolata,Chromis.multilineata,Stegastes.leucostictus,Stegastes.partitus,Scarus.iserti,Scarus.taeniopterus,Sparisoma.atomarium,Sparisoma.aurofrenatum,Sparisoma.viride,Hypoplectrus.puella,Serranus.tigrinus,Canthigaster.rostrata,Tot.Abund0.5
AL,2009,0,0,0.008333333,0.016666667,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0.016666667,0,0,0,0.308333333,0.391666667
BC,2009,0,0,0.008333333,0,0,0,0,0,0,0.016666667,0,0,0,0,0,0,0.025,0,0,0,0.008333333,0,0,0,0.275,0.333333333
CA,2009,0,0,0,0,0,0.016666667,0,0.683333333,0,0.258333333,0,0.458333333,0,0,0,0,0.183333333,0.141666667,0,0,0.008333333,0.008333333,0.008333333,0,0.433333333,2.2
GA,2009,0,0,0,0,0,0,0,0,0,0,0,0.277777778,0,0,0,0,0.2,0,0,0,0.044444444,0,0,0,0.155555556,0.677777778
HC,2009,0,0,0,0,0,0,0,0,0,0.022222222,0,0.088888889,0,0,0,0,0.144444444,0,0,0,0.011111111,0,0,0.011111111,0.177777778,0.455555556
HM,2009,0,0,0,0.266666667,0,0,0,0.08,0,0.013333333,0,1.4,0,0,0,0,0.2,0.066666667,0,0,0,0,0,0,0.293333333,2.32
MC,2009,0,0,0,0,0,0,0,0,0,0.133333333,0,0.066666667,0,0,0,0,0.266666667,0.026666667,0,0,0,0,0,0,0.6,1.093333333
MR,2009,0,0.008333333,0,0.016666667,0,0,0,0,0,0.058333333,0,0.025,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0.291666667,0.433333333
NI,2009,0,0,0,0,0,0,0,0,0,0.022222222,0,0.122222222,0,0,0,0,0.155555556,0.022222222,0,0,0.011111111,0,0,0,0.433333333,0.766666667
PO,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019047619,0.085714286,0,0,0,0.00952381,0,0,0.352380952,0.466666667
RA,2009,0,0,0,0,0,0,0,0,0,0.008333333,0,4.175,0,0,0,0,0.066666667,0.008333333,0,0,0,0,0,0,0.5,4.758333333
SM,2009,0,0,0,0,0,0,0,0.011111111,0,0.011111111,0,0,0,0,0,0,0.344444444,0.1,0,0,0.011111111,0,0,0,1.611111111,2.088888889
SW,2009,0,0.008333333,0,0,0,0,0,0.008333333,0,0.033333333,0,0.008333333,0,0,0,0,0.166666667,0,0,0,0.066666667,0,0,0,0.358333333,0.65
TB,2009,0,0,0,0,0,0,0,0,0,0.088888889,0,0.3,0,0,0,0,0.266666667,0,0,0,0.044444444,0.011111111,0,0,0.377777778,1.088888889
